sample_id	biosample	blaOXA-23	blaOXA-24-like	blaOXA-58-like
ERR110067	SAMEA1466056	0	0	0
ERR110081	SAMEA1466008	0	0	1
ERR110082	SAMEA1465988	0	0	0
ERR110086	SAMEA1466052	1	0	0
ERR110098	SAMEA1466082	0	0	0
ERR110100	SAMEA1466011	0	0	0
ERR110102	SAMEA1466028	0	0	0
ERR119657	SAMEA1317939	0	0	0
ERR119659	SAMEA1317920	0	0	1
ERR119660	SAMEA1317927	0	0	0
ERR119664	SAMEA1317924	0	0	0
ERR119668	SAMEA1317922	0	0	0
ERR119670	SAMEA1317931	0	0	0
ERR119671	SAMEA1317930	0	0	0
ERR119677	SAMEA1317925	1	0	0
ERR119679	SAMEA1317937	0	0	1
ERR190414	SAMEA1569402	0	0	0
ERR190415	SAMEA1569436	1	0	0
ERR190417	SAMEA1569477	0	0	0
ERR190418	SAMEA1569374	0	0	0
ERR190419	SAMEA1569504	1	0	0
ERR190420	SAMEA1569503	1	0	0
ERR190421	SAMEA1569458	0	0	0
ERR190422	SAMEA1569539	1	0	0
ERR190423	SAMEA1569528	0	0	0
ERR190425	SAMEA1569551	1	0	1
ERR190428	SAMEA1569438	0	0	0
ERR190430	SAMEA1569371	1	0	0
ERR190432	SAMEA1569467	1	0	0
ERR190433	SAMEA1569386	1	0	0
ERR190434	SAMEA1569395	1	0	0
ERR190435	SAMEA1569508	1	0	0
ERR190436	SAMEA1569377	1	0	0
ERR190437	SAMEA1569465	0	0	0
ERR190438	SAMEA1569546	1	0	0
ERR190439	SAMEA1569473	0	0	0
ERR190440	SAMEA1569417	1	0	0
ERR190441	SAMEA1569423	0	1	0
ERR190442	SAMEA1569406	0	0	1
ERR190443	SAMEA1569434	1	0	0
ERR190444	SAMEA1569387	1	0	0
ERR190446	SAMEA1569442	1	0	0
ERR190447	SAMEA1569510	0	0	0
ERR190448	SAMEA1569488	1	0	0
ERR190449	SAMEA1569533	0	0	0
ERR190450	SAMEA1569449	1	0	0
ERR190451	SAMEA1569523	1	0	0
ERR190452	SAMEA1569487	1	0	0
ERR190454	SAMEA1569399	1	0	0
ERR190455	SAMEA1569490	0	0	0
ERR190456	SAMEA1569408	1	0	0
ERR190457	SAMEA1569516	1	0	0
ERR190458	SAMEA1569394	0	0	0
ERR190459	SAMEA1569538	1	0	0
ERR190461	SAMEA1569418	1	0	0
ERR190462	SAMEA1569499	1	0	0
ERR190464	SAMEA1569557	0	0	1
ERR190465	SAMEA1569478	1	0	0
ERR190466	SAMEA1569441	1	0	0
ERR190467	SAMEA1569482	0	0	0
ERR190468	SAMEA1569411	0	0	0
ERR190469	SAMEA1569454	1	0	0
ERR190470	SAMEA1569543	0	0	1
ERR190471	SAMEA1569460	0	0	1
ERR190472	SAMEA1569534	1	0	0
ERR190473	SAMEA1569472	1	0	0
ERR190474	SAMEA1569483	1	0	0
ERR190475	SAMEA1569382	1	0	0
ERR190476	SAMEA1569561	0	0	0
ERR190477	SAMEA1569379	0	0	0
ERR190478	SAMEA1569428	1	0	0
ERR190479	SAMEA1569407	1	0	0
ERR190480	SAMEA1569548	1	0	0
ERR190481	SAMEA1569530	0	0	1
ERR190482	SAMEA1569489	1	0	0
ERR190483	SAMEA1569525	0	0	0
ERR190484	SAMEA1569425	1	0	0
ERR190486	SAMEA1569514	1	0	0
ERR190487	SAMEA1569517	0	0	0
ERR190488	SAMEA1569424	1	0	0
ERR190489	SAMEA1569450	1	0	0
ERR190490	SAMEA1569459	1	0	0
ERR190491	SAMEA1569519	1	0	0
ERR190492	SAMEA1569372	0	0	0
ERR190493	SAMEA1569396	1	0	0
ERR190494	SAMEA1569414	1	0	0
ERR190495	SAMEA1569422	1	0	0
ERR190496	SAMEA1569496	1	0	0
ERR190497	SAMEA1569549	1	0	0
ERR190498	SAMEA1569545	1	0	0
ERR190499	SAMEA1569380	1	0	0
ERR190500	SAMEA1569461	1	0	0
ERR190501	SAMEA1569484	1	0	0
ERR190502	SAMEA1569537	1	0	0
ERR190503	SAMEA1569541	1	0	0
ERR190504	SAMEA1569400	0	0	0
ERR190505	SAMEA1569556	0	0	0
ERR190506	SAMEA1569495	0	0	0
ERR197551	SAMEA1569471	0	0	0
ERR197552	SAMEA1569476	0	0	0
ERR197553	SAMEA1569507	0	0	0
ERR197554	SAMEA1569433	0	0	0
ERR197555	SAMEA1569558	0	0	0
ERR197556	SAMEA1569410	0	0	0
ERR197559	SAMEA1569509	0	0	0
ERR197560	SAMEA1569559	0	0	0
ERR197566	SAMEA1569405	0	0	0
ERR197569	SAMEA1569439	0	0	1
ERR197570	SAMEA1569506	0	0	0
ERR197576	SAMEA1569485	0	0	0
ERR197577	SAMEA1569430	0	0	0
ERR197578	SAMEA1569421	0	0	0
ERR197579	SAMEA1569383	0	0	0
ERR197580	SAMEA1569429	0	0	0
ERR197581	SAMEA1569520	0	0	0
ERR197582	SAMEA1569375	0	0	0
ERR197583	SAMEA1569373	0	0	0
ERR197584	SAMEA1569500	0	0	0
ERR197585	SAMEA1569468	0	0	0
ERR197586	SAMEA1569385	0	0	0
ERR197587	SAMEA1569466	0	0	0
ERR197588	SAMEA1569409	0	0	0
ERR197589	SAMEA1569550	0	0	0
ERR197590	SAMEA1569446	0	0	0
ERR197591	SAMEA1569542	0	0	0
ERR197592	SAMEA1569443	0	0	0
ERR197593	SAMEA1569390	0	0	0
ERR197594	SAMEA1569531	0	0	0
ERR197595	SAMEA1569393	0	0	0
ERR197596	SAMEA1569486	0	0	0
ERR197597	SAMEA1569469	0	0	0
ERR197598	SAMEA1569480	0	0	0
ERR197599	SAMEA1569529	0	0	0
ERR197601	SAMEA1569555	0	0	0
ERR197605	SAMEA1569403	0	0	0
ERR197610	SAMEA1569416	0	0	0
ERR197612	SAMEA1569444	0	0	0
ERR197613	SAMEA1569447	0	0	0
ERR197614	SAMEA1569547	0	0	0
ERR197618	SAMEA1569404	0	0	0
ERR197619	SAMEA1569401	0	0	0
ERR197620	SAMEA1569419	0	0	0
ERR197621	SAMEA1569540	0	0	0
ERR197622	SAMEA1569463	0	0	0
ERR197623	SAMEA1569388	0	0	0
ERR197624	SAMEA1569552	0	0	0
ERR197626	SAMEA1569453	0	0	0
ERR197628	SAMEA1569502	0	0	0
ERR197629	SAMEA1569426	0	0	1
ERR197630	SAMEA1569518	0	0	0
ERR197631	SAMEA1569479	0	0	0
ERR197633	SAMEA1569452	0	0	0
ERR197635	SAMEA1569497	0	0	0
ERR197636	SAMEA1569532	0	0	0
ERR197637	SAMEA1569431	0	0	0
ERR197638	SAMEA1569432	0	0	0
ERR197639	SAMEA1569512	0	0	0
ERR197640	SAMEA1569435	0	0	0
ERR197642	SAMEA1569398	0	0	0
ERR197643	SAMEA1569515	0	0	0
ERR197644	SAMEA1569392	0	0	0
ERR197645	SAMEA1569492	0	0	0
ERR197646	SAMEA1569521	0	0	0
ERR249218	SAMEA1709749	0	0	0
ERR249288	SAMEA1709744	0	0	0
ERR249292	SAMEA1709886	0	0	0
ERR249294	SAMEA1709848	0	0	0
ERR249297	SAMEA1709843	0	0	0
ERR263722	SAMEA1876492	0	0	0
ERR263723	SAMEA1876495	0	0	0
ERR263724	SAMEA1876509	0	0	0
ERR263725	SAMEA1876507	0	0	0
ERR263726	SAMEA1876506	0	0	0
ERR263727	SAMEA1876505	0	0	0
ERR263728	SAMEA1876503	0	0	0
ERR2931003	SAMEA5131855	0	0	0
ERR2931007	SAMEA5131845	0	0	0
ERR2931012	SAMEA5131846	0	0	0
ERR2931015	SAMEA5131847	0	0	0
ERR2931019	SAMEA5131848	0	0	0
ERR2931020	SAMEA5131849	0	0	0
ERR2931023	SAMEA5131850	0	0	0
ERR2931026	SAMEA5131851	0	0	0
ERR2931027	SAMEA5131852	0	0	0
ERR2931030	SAMEA5131853	0	0	0
ERR2931031	SAMEA5131854	0	0	0
ERR3938696	SAMEA6574530	0	0	0
SRR10094349	SAMN10249077	1	0	0
SRR10094360	SAMN10249113	1	0	0
SRR10094363	SAMN10249026	0	0	0
SRR10094364	SAMN10249084	0	0	0
SRR10094365	SAMN10249063	0	0	0
SRR10094366	SAMN10249115	0	0	0
SRR10094367	SAMN10248960	1	0	0
SRR10094368	SAMN10249032	1	0	0
SRR10094369	SAMN10249073	1	0	0
SRR10094370	SAMN10248978	1	0	0
SRR10094371	SAMN10248940	1	0	0
SRR10094372	SAMN10249041	1	0	0
SRR10094373	SAMN10249078	1	0	0
SRR10094374	SAMN10249127	1	0	0
SRR10094375	SAMN10248955	1	0	0
SRR10094376	SAMN10249061	1	0	0
