accession	biosample	secondary_sample	read_count
ERR110067	SAMEA1466056	ERS083375	2237584
ERR110081	SAMEA1466008	ERS083389	1986176
ERR110082	SAMEA1465988	ERS083390	2320433
ERR110086	SAMEA1466052	ERS083394	1558089
ERR110098	SAMEA1466082	ERS083406	1928454
ERR110100	SAMEA1466011	ERS083408	2736893
ERR110102	SAMEA1466028	ERS083410	1938125
ERR119657	SAMEA1317939	ERS083412	6528927
ERR119659	SAMEA1317920	ERS083414	5005739
ERR119660	SAMEA1317927	ERS083415	5466152
ERR119664	SAMEA1317924	ERS083419	5006461
ERR119668	SAMEA1317922	ERS083423	6296684
ERR119670	SAMEA1317931	ERS083425	4944407
ERR119671	SAMEA1317930	ERS083426	4243553
ERR119677	SAMEA1317925	ERS083432	4659966
ERR119679	SAMEA1317937	ERS083434	4929973
ERR190414	SAMEA1569402	ERS145937	2689628
ERR190415	SAMEA1569436	ERS146516	2211494
ERR190417	SAMEA1569477	ERS145940	2121011
ERR190418	SAMEA1569374	ERS146139	1691594
ERR190419	SAMEA1569504	ERS146271	1977695
ERR190420	SAMEA1569503	ERS145943	2221987
ERR190421	SAMEA1569458	ERS146417	2477877
ERR190422	SAMEA1569539	ERS146142	2213016
ERR190423	SAMEA1569528	ERS145946	2546587
ERR190425	SAMEA1569551	ERS146274	1882180
ERR190428	SAMEA1569438	ERS146361	34389
ERR190430	SAMEA1569371	ERS146482	1219343
ERR190432	SAMEA1569467	ERS145955	2070817
ERR190433	SAMEA1569386	ERS146277	2050194
ERR190434	SAMEA1569395	ERS146420	2363701
ERR190435	SAMEA1569508	ERS145958	2059968
ERR190436	SAMEA1569377	ERS146151	2354327
ERR190437	SAMEA1569465	ERS146364	44952
ERR190438	SAMEA1569546	ERS145961	2140470
ERR190439	SAMEA1569473	ERS146280	6886
ERR190440	SAMEA1569417	ERS146154	1875493
ERR190441	SAMEA1569423	ERS145964	2110957
ERR190442	SAMEA1569406	ERS146499	2020018
ERR190443	SAMEA1569434	ERS146459	2142134
ERR190444	SAMEA1569387	ERS145967	1288192
ERR190446	SAMEA1569442	ERS146283	2318588
ERR190447	SAMEA1569510	ERS145970	1719258
ERR190448	SAMEA1569488	ERS146367	2550155
ERR190449	SAMEA1569533	ERS146160	2307653
ERR190450	SAMEA1569449	ERS145973	2920139
ERR190451	SAMEA1569523	ERS146423	646512
ERR190452	SAMEA1569487	ERS146286	2173388
ERR190454	SAMEA1569399	ERS146163	1920178
ERR190455	SAMEA1569490	ERS146510	12780
ERR190456	SAMEA1569408	ERS145979	2123425
ERR190457	SAMEA1569516	ERS146370	841131
ERR190458	SAMEA1569394	ERS146166	18958
ERR190459	SAMEA1569538	ERS145982	2299976
ERR190461	SAMEA1569418	ERS146485	1958357
ERR190462	SAMEA1569499	ERS145985	1527159
ERR190464	SAMEA1569557	ERS146426	2150216
ERR190465	SAMEA1569478	ERS145988	1856599
ERR190466	SAMEA1569441	ERS146292	1620878
ERR190467	SAMEA1569482	ERS146172	1636813
ERR190468	SAMEA1569411	ERS145991	22501
