sample_id	biosample	blaCTX-M	blaTEM	blaSHV	blaKPC	blaNDM	blaOXA-48-like	qnrB	aac6-Ib-cr	sul1	sul2	dfrA12	dfrA14	mcr-1
DRR148122	SAMD00126359	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR148128	SAMD00126365	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR148135	SAMD00126372	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR148139	SAMD00126376	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR148144	SAMD00126381	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR148148	SAMD00126385	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR148154	SAMD00126391	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR148168	SAMD00126405	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR148169	SAMD00126406	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR148189	SAMD00126426	0	1	0	0	0	0	0	0	1	1	0	0	0
DRR148196	SAMD00126433	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR148201	SAMD00126438	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR148202	SAMD00126439	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR148234	SAMD00126471	1	0	0	0	0	0	0	0	0	0	0	0	0
DRR148237	SAMD00126474	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR148240	SAMD00126477	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR148243	SAMD00126480	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR148244	SAMD00126481	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR148253	SAMD00126490	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR148261	SAMD00126498	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR148266	SAMD00126503	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR148268	SAMD00126505	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR148274	SAMD00126511	0	1	0	0	0	0	0	0	1	1	0	0	0
DRR148297	SAMD00126534	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR148303	SAMD00126540	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR148325	SAMD00126562	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR148329	SAMD00126566	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR148334	SAMD00126571	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR148336	SAMD00126573	1	1	0	0	0	0	0	0	1	1	0	0	0
DRR148347	SAMD00126584	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR148353	SAMD00126590	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR148354	SAMD00126591	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR148355	SAMD00126592	1	0	0	0	0	0	0	0	1	1	0	0	0
DRR148358	SAMD00126595	0	0	0	0	0	0	0	0	0	0	0	0	0
DRR148360	SAMD00126597	0	1	0	0	0	0	0	0	0	0	1	0	0
DRR148362	SAMD00126599	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR148363	SAMD00126600	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR148367	SAMD00126604	0	1	0	0	0	0	0	0	0	0	0	0	0
DRR385906	SAMD00497402	1	1	0	0	0	0	0	0	0	0	0	0	0
DRR385957	SAMD00497453	1	1	0	0	0	0	0	0	0	1	0	1	0
DRR385966	SAMD00497462	1	0	0	0	0	0	0	0	0	0	0	0	0
