sample_id	biosample	blaSHV	blaKPC	blaNDM	blaCTX-M	qnrB	blaOXA-48-like	aac6-Ib-cr
DRR015585	SAMD00013571	0	0	0	0	0	0	0
DRR057925	SAMD00049595	1	0	0	0	0	0	0
DRR057926	SAMD00049596	1	0	0	0	0	0	0
DRR061405	SAMD00052601	1	1	0	0	0	0	0
DRR061406	SAMD00052602	1	1	0	0	0	0	0
DRR061407	SAMD00052603	1	1	0	0	0	0	0
DRR061412	SAMD00052606	1	1	0	0	0	0	0
DRR061421	SAMD00052619	1	1	0	0	0	0	0
DRR061423	SAMD00052621	1	1	0	0	0	0	0
DRR061427	SAMD00052625	1	1	0	0	0	0	0
DRR065624	SAMD00055778	1	0	0	0	0	0	0
DRR065636	SAMD00055790	1	0	0	1	0	0	0
DRR067537	SAMD00057819	1	0	0	1	0	0	0
DRR067538	SAMD00057820	1	0	0	1	0	0	0
DRR067539	SAMD00057821	1	0	0	1	0	0	0
DRR067540	SAMD00057822	1	0	0	1	0	0	0
DRR076334	SAMD00066597	1	1	0	1	0	0	0
DRR076945	SAMD00066850	1	0	0	1	0	1	1
DRR076946	SAMD00066851	1	0	0	1	0	1	0
DRR076947	SAMD00066852	1	0	0	1	0	1	1
DRR076948	SAMD00066853	1	0	0	1	0	1	1
DRR076949	SAMD00066854	1	0	0	1	0	1	1
DRR076950	SAMD00066855	1	0	0	1	0	1	1
DRR076951	SAMD00066856	1	0	0	1	0	1	1
DRR076952	SAMD00066857	1	0	0	1	0	1	1
DRR076953	SAMD00066858	1	0	0	1	0	1	1
DRR076954	SAMD00066859	1	0	0	1	0	1	1
DRR076955	SAMD00066860	1	1	0	1	1	0	1
DRR076956	SAMD00066861	1	0	0	1	1	1	1
DRR076957	SAMD00066862	1	0	0	1	0	1	1
DRR076958	SAMD00066863	1	0	0	1	0	1	1
DRR076959	SAMD00066864	1	0	0	1	0	1	0
DRR076960	SAMD00066865	1	0	1	0	1	0	1
DRR076961	SAMD00066866	1	0	1	1	0	0	0
DRR076962	SAMD00066867	1	0	0	1	0	1	0
DRR076963	SAMD00066868	1	0	0	1	0	1	0
DRR076964	SAMD00066869	1	0	0	1	0	1	0
DRR076965	SAMD00066870	1	0	0	1	0	1	0
DRR076966	SAMD00066871	1	0	1	1	0	0	0
DRR076967	SAMD00066872	1	0	0	1	1	1	1
DRR076968	SAMD00066873	1	0	1	1	0	0	0
DRR076969	SAMD00066874	1	0	1	1	0	0	0
DRR076970	SAMD00066875	1	0	1	1	0	0	0
DRR076971	SAMD00066876	1	0	1	1	1	0	1
DRR098844	SAMD00085834	1	0	0	1	0	1	1
DRR100990	SAMD00092884	1	0	0	0	0	0	0
DRR100991	SAMD00092885	1	0	0	0	1	0	1
DRR100992	SAMD00092886	1	0	0	0	1	0	0
DRR100993	SAMD00092887	1	0	0	0	0	0	0
DRR100994	SAMD00092888	1	0	0	0	0	0	0
DRR100995	SAMD00092889	1	0	0	0	1	0	0
DRR100996	SAMD00092890	1	0	0	0	0	0	0
DRR100997	SAMD00092891	1	1	0	0	0	0	0
DRR100998	SAMD00092892	1	0	0	0	1	0	0
DRR100999	SAMD00092893	1	0	0	0	0	0	0
DRR101000	SAMD00092894	1	0	0	0	0	0	0
DRR101001	SAMD00092895	1	0	0	0	1	0	0
DRR101002	SAMD00092896	1	0	0	0	1	0	0
DRR101003	SAMD00092897	1	0	0	0	1	0	1
DRR101004	SAMD00092898	1	0	0	0	0	0	0
DRR101005	SAMD00092899	1	0	0	0	0	0	0
DRR101006	SAMD00092900	1	0	0	0	0	0	0
DRR101007	SAMD00092901	1	0	0	0	0	0	0
DRR101008	SAMD00092902	1	0	0	0	0	0	0
DRR101009	SAMD00092903	0	0	0	0	0	0	0
DRR101010	SAMD00092904	0	0	0	0	0	0	0
DRR101011	SAMD00092905	1	0	0	0	0	0	0
DRR111568	SAMD00099755	1	0	1	1	1	0	1
DRR111571	SAMD00099758	1	0	1	1	0	0	1
DRR111575	SAMD00099762	1	0	1	1	0	0	1
DRR111578	SAMD00099765	1	0	1	1	1	0	1
DRR111579	SAMD00099766	1	0	1	1	0	0	1
DRR111584	SAMD00099771	1	0	1	1	1	0	1
DRR111585	SAMD00099772	0	0	1	1	1	0	1
DRR111601	SAMD00099788	1	0	1	1	0	0	1
DRR111602	SAMD00099789	1	0	1	1	0	0	1
DRR111604	SAMD00099791	1	0	1	1	0	0	1
DRR111605	SAMD00099792	1	0	1	1	0	0	1
DRR111606	SAMD00099793	1	0	1	1	1	0	1
DRR111610	SAMD00099797	1	0	1	1	0	0	1
DRR120561	SAMD00108711	1	0	0	1	0	0	0
DRR120563	SAMD00108713	1	0	0	1	0	0	0
DRR120564	SAMD00108714	1	0	0	1	0	0	0
DRR120566	SAMD00108716	1	0	0	1	0	0	0
DRR120567	SAMD00108717	1	0	0	1	0	0	0
