sample_id	biosample	mecA	blaZ	ermC	ermB	tetK	mupA
DRR170691	SAMD00164374	1	0	0	0	0	0
DRR170699	SAMD00164378	1	1	0	0	0	0
ERR017169	SAMEA734677	1	1	0	0	0	0
ERR017171	SAMEA734757	1	1	0	0	0	0
ERR017173	SAMEA734681	1	1	0	0	0	0
ERR017178	SAMEA734678	1	1	0	0	0	0
ERR017181	SAMEA734758	1	1	1	0	0	0
ERR017187	SAMEA734756	1	1	1	0	0	0
ERR017190	SAMEA734753	0	0	0	0	0	0
ERR017193	SAMEA734730	1	1	0	0	0	0
ERR017197	SAMEA734793	1	1	1	0	0	0
ERR017199	SAMEA734724	1	1	0	0	0	0
ERR017200	SAMEA734733	1	1	0	0	0	0
ERR017201	SAMEA734734	1	1	1	0	0	0
ERR017207	SAMEA734773	1	1	1	0	0	0
ERR017208	SAMEA734774	1	1	1	0	0	0
ERR017209	SAMEA734771	1	1	1	0	0	0
ERR017210	SAMEA734772	1	1	1	0	0	0
ERR017211	SAMEA734800	1	1	1	0	0	0
ERR017214	SAMEA734795	1	1	0	0	0	0
ERR017217	SAMEA734776	1	1	1	0	0	0
ERR017219	SAMEA734743	1	1	0	0	0	0
ERR017223	SAMEA734739	0	1	0	0	0	0
ERR017225	SAMEA734780	1	1	1	0	0	0
ERR017226	SAMEA734777	1	1	1	0	0	0
ERR017231	SAMEA734768	0	0	0	0	0	0
ERR017232	SAMEA734767	1	1	1	0	0	0
ERR017241	SAMEA734765	1	1	1	0	0	0
ERR017243	SAMEA734782	1	1	0	0	0	0
ERR017244	SAMEA734783	1	1	1	0	0	0
ERR017245	SAMEA734784	1	1	0	0	0	0
ERR017247	SAMEA734786	1	1	0	0	0	0
ERR017249	SAMEA734788	1	1	0	0	0	0
ERR017250	SAMEA734770	1	1	1	0	0	0
ERR017253	SAMEA734781	1	1	1	0	0	0
ERR017260	SAMEA734688	0	0	0	0	0	0
ERR017261	SAMEA734687	1	1	1	0	0	0
ERR017262	SAMEA734686	1	1	1	0	0	0
ERR017263	SAMEA734789	1	1	0	0	0	0
ERR017267	SAMEA734696	1	1	1	0	0	0
ERR017268	SAMEA734699	1	1	1	0	0	0
ERR017269	SAMEA734700	1	1	1	0	0	0
ERR017270	SAMEA734697	1	1	1	0	0	0
ERR017271	SAMEA734698	1	1	1	0	0	0
ERR017274	SAMEA734701	1	1	1	0	0	0
ERR017275	SAMEA734702	1	1	1	0	0	0
ERR017278	SAMEA734719	1	1	0	0	0	0
ERR017279	SAMEA734718	1	1	1	0	0	0
ERR017284	SAMEA734711	1	1	1	0	0	0
ERR017285	SAMEA734715	1	1	1	0	0	0
ERR017287	SAMEA734717	1	1	1	0	0	0
ERR017290	SAMEA734720	1	1	1	0	0	0
ERR017292	SAMEA734722	1	1	1	0	0	0
ERR017293	SAMEA734752	0	1	1	0	0	0
ERR017297	SAMEA734749	1	1	0	0	0	0
ERR017301	SAMEA734728	0	1	0	0	0	0
ERR024671	SAMEA862644	1	0	0	0	0	0
ERR024672	SAMEA862637	1	0	0	0	0	0
ERR024674	SAMEA862631	1	0	0	0	0	0
ERR024684	SAMEA862659	1	0	0	0	0	0
ERR024687	SAMEA862648	1	0	0	0	0	0
