sample_id	biosample	blaSHV	blaKPC	blaNDM	blaCTX-M	qnrB	blaOXA-48-like	aac6-Ib-cr
DRR122466	SAMD00108782	1	0	0	1	0	1	1
DRR122504	SAMD00108821	1	0	1	1	0	0	1
DRR138477	SAMD00127157	1	0	0	1	1	0	1
DRR150502	SAMD00137957	1	0	0	0	0	1	1
DRR150572	SAMD00138027	1	0	1	1	0	1	1
DRR223364	SAMD00220050	1	0	0	1	1	0	1
DRR281099	SAMD00287425	0	0	0	0	0	0	0
DRR316627	SAMD00397334	0	0	0	0	0	0	0
DRR316634	SAMD00397341	0	0	0	0	0	0	0
DRR320150	SAMD00399364	1	0	0	0	0	0	0
DRR385989	SAMD00497485	0	0	0	1	1	0	0
DRR386608	SAMD00498104	1	0	0	1	0	0	0
DRR386706	SAMD00498202	1	0	0	1	0	0	0
DRR387221	SAMD00498717	1	0	0	1	0	0	1
DRR388260	SAMD00499756	1	0	0	1	0	0	0
DRR388677	SAMD00500173	1	0	0	1	1	0	1
DRR389145	SAMD00500641	1	0	0	0	1	0	0
DRR389479	SAMD00500975	1	0	0	1	1	0	0
DRR389489	SAMD00500985	0	0	0	1	0	0	0
DRR389997	SAMD00501493	1	0	0	1	0	0	0
DRR390770	SAMD00502266	1	0	0	1	0	0	0
DRR391002	SAMD00502498	1	0	0	1	0	0	0
DRR400309	SAMD00059719	1	0	1	1	1	0	0
ERR10016558	SAMEA110448640	0	0	0	0	0	0	0
ERR10030781	SAMEA110371346	1	0	0	1	0	0	1
ERR10030828	SAMEA110371393	1	0	0	1	0	0	1
ERR10030867	SAMEA110371432	1	0	0	1	1	0	1
ERR10030884	SAMEA110371449	1	0	0	1	1	0	1
ERR10031146	SAMEA110371711	1	0	1	1	1	0	1
ERR10040086	SAMEA14430905	1	0	0	0	0	0	0
ERR1023690	SAMEA3357416	1	0	0	0	0	0	0
ERR1023810	SAMEA3357104	0	0	0	0	0	0	0
ERR10321573	SAMEA111435765	1	0	0	1	0	1	0
ERR10419926	SAMEA10147404	0	0	0	1	0	0	0
ERR10430281	SAMEA111503421	1	0	0	1	1	0	1
ERR10432423	SAMEA111506009	1	0	0	0	0	0	0
ERR10437761	SAMEA111504517	1	0	0	1	0	0	0
ERR10440849	SAMEA111523671	1	0	0	1	1	1	1
ERR10440929	SAMEA111523754	1	0	0	1	0	1	0
ERR10461849	SAMEA111547265	1	0	0	1	0	1	0
ERR10461880	SAMEA111547296	1	1	0	0	1	0	0
ERR10471824	SAMEA9800610	1	0	0	1	0	1	0
ERR10471925	SAMEA9800395	1	0	0	1	0	1	0
ERR10471941	SAMEA9800417	1	0	1	1	0	0	0
ERR10471949	SAMEA9800428	1	0	0	1	0	1	0
ERR10663155	SAMEA112198861	1	0	1	1	1	0	1
ERR10663230	SAMEA112198936	1	0	1	1	0	0	1
ERR10669650	SAMEA112228887	1	1	0	0	0	0	0
ERR10669654	SAMEA112228891	1	1	0	0	0	0	0
ERR10669681	SAMEA112228918	1	1	0	0	0	0	0
ERR10669686	SAMEA112228923	1	0	0	0	0	0	0
ERR10669748	SAMEA112228985	1	1	0	0	0	0	0
ERR10686278	SAMEA10303425	1	0	0	1	1	0	1
ERR10738925	SAMEA112282361	1	0	1	1	0	1	0
ERR10765247	SAMEA10302680	0	0	0	1	0	0	0
ERR10765316	SAMEA10302480	1	0	0	1	0	0	0
ERR10765318	SAMEA10302840	1	0	0	1	0	0	0
ERR10765499	SAMEA10302601	1	0	0	1	1	0	1
ERR10765922	SAMEA10417029	1	0	0	1	1	0	1
ERR10765930	SAMEA10417032	1	0	0	1	0	0	0
ERR10877912	SAMEA112638271	1	0	0	1	0	0	0
ERR10893932	SAMEA12109433	1	0	0	1	1	0	1
ERR10894046	SAMEA12109351	1	0	0	1	0	0	0
ERR10992844	SAMEA112763581	1	0	0	0	0	0	0
ERR11021154	SAMEA112785767	1	0	1	1	0	1	1
ERR1204893	SAMEA3500033	1	0	0	0	1	1	1
ERR1204936	SAMEA3498992	1	0	0	1	1	0	0
ERR1204997	SAMEA3499903	1	0	0	1	0	1	0
ERR1216985	SAMEA3512066	1	0	0	0	0	0	0
ERR1217086	SAMEA3538458	1	0	0	0	0	0	0
ERR1217287	SAMEA3515137	1	1	0	0	0	0	0
ERR1217392	SAMEA3515246	1	1	0	0	0	0	0
ERR1228149	SAMEA3538649	1	0	0	0	0	0	0
ERR1228154	SAMEA3538654	1	1	0	0	0	0	0
ERR1228156	SAMEA3538656	1	1	0	0	0	0	0
ERR1228185	SAMEA3538691	1	0	0	0	0	0	0
ERR1228205	SAMEA3538711	1	1	0	0	0	0	0
ERR1289793	SAMEA3649511	1	0	0	1	0	1	1
ERR1289823	SAMEA3649541	1	0	0	1	0	0	0
ERR1334649	SAMEA3649818	1	0	0	0	0	0	0
ERR1334669	SAMEA3649840	1	0	0	1	1	0	0
ERR1334703	SAMEA3649876	1	1	0	0	0	0	0
