accession	layout	r1_url	r2_url	biosample	read_count
ERR12543616	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/016/ERR12543616/ERR12543616_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/016/ERR12543616/ERR12543616_2.fastq.gz	SAMEA115160653	2619392
ERR12543628	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/028/ERR12543628/ERR12543628_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/028/ERR12543628/ERR12543628_2.fastq.gz	SAMEA115160665	2313818
ERR12543629	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/029/ERR12543629/ERR12543629_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/029/ERR12543629/ERR12543629_2.fastq.gz	SAMEA115160666	2235702
ERR12543633	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/033/ERR12543633/ERR12543633_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/033/ERR12543633/ERR12543633_2.fastq.gz	SAMEA115160670	2481562
ERR12543634	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/034/ERR12543634/ERR12543634_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/034/ERR12543634/ERR12543634_2.fastq.gz	SAMEA115160671	11267196
ERR12543643	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/043/ERR12543643/ERR12543643_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/043/ERR12543643/ERR12543643_2.fastq.gz	SAMEA115160680	10330600
ERR12543645	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/045/ERR12543645/ERR12543645_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/045/ERR12543645/ERR12543645_2.fastq.gz	SAMEA115160682	12323342
ERR12543651	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/051/ERR12543651/ERR12543651_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/051/ERR12543651/ERR12543651_2.fastq.gz	SAMEA115160688	10939128
ERR12543653	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/053/ERR12543653/ERR12543653_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/053/ERR12543653/ERR12543653_2.fastq.gz	SAMEA115160690	11754398
ERR12543656	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/056/ERR12543656/ERR12543656_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/056/ERR12543656/ERR12543656_2.fastq.gz	SAMEA115160693	10899266
