accession	layout	r1_url	r2_url	biosample	read_count	stratum
DRR148122	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148122/DRR148122_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148122/DRR148122_2.fastq.gz	SAMD00126359	664503	u
DRR148128	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148128/DRR148128_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148128/DRR148128_2.fastq.gz	SAMD00126365	1104033	u
DRR148135	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148135/DRR148135_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148135/DRR148135_2.fastq.gz	SAMD00126372	928950	u
DRR148139	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148139/DRR148139_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148139/DRR148139_2.fastq.gz	SAMD00126376	738953	u
DRR148144	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148144/DRR148144_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148144/DRR148144_2.fastq.gz	SAMD00126381	753466	u
DRR148148	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148148/DRR148148_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148148/DRR148148_2.fastq.gz	SAMD00126385	865664	u
DRR148154	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148154/DRR148154_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148154/DRR148154_2.fastq.gz	SAMD00126391	737627	u
DRR148168	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148168/DRR148168_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148168/DRR148168_2.fastq.gz	SAMD00126405	882455	u
DRR148169	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148169/DRR148169_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148169/DRR148169_2.fastq.gz	SAMD00126406	692045	u
DRR148189	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148189/DRR148189_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148189/DRR148189_2.fastq.gz	SAMD00126426	564467	u
DRR148196	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148196/DRR148196_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148196/DRR148196_2.fastq.gz	SAMD00126433	733168	u
DRR148201	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148201/DRR148201_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148201/DRR148201_2.fastq.gz	SAMD00126438	678920	u
DRR148202	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148202/DRR148202_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148202/DRR148202_2.fastq.gz	SAMD00126439	597064	u
DRR148234	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148234/DRR148234_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148234/DRR148234_2.fastq.gz	SAMD00126471	1554700	u
DRR148237	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148237/DRR148237_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148237/DRR148237_2.fastq.gz	SAMD00126474	1083549	u
DRR148240	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148240/DRR148240_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148240/DRR148240_2.fastq.gz	SAMD00126477	1114357	u
DRR148243	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148243/DRR148243_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148243/DRR148243_2.fastq.gz	SAMD00126480	1076257	u
DRR148244	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148244/DRR148244_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148244/DRR148244_2.fastq.gz	SAMD00126481	1019763	u
DRR148253	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148253/DRR148253_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148253/DRR148253_2.fastq.gz	SAMD00126490	925273	u
DRR148261	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148261/DRR148261_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148261/DRR148261_2.fastq.gz	SAMD00126498	845776	u
DRR148266	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148266/DRR148266_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR148/DRR148266/DRR148266_2.fastq.gz	SAMD00126503	985180	u
