sample_accession	run_accession	aws_url
SAMD00013571	DRR015585	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00013571.fa.gz
SAMD00049595	DRR057925	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00049595.fa.gz
SAMD00049596	DRR057926	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00049596.fa.gz
SAMD00052601	DRR061405	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00052601.fa.gz
SAMD00052602	DRR061406	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00052602.fa.gz
SAMD00052603	DRR061407	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00052603.fa.gz
SAMD00052606	DRR061412	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00052606.fa.gz
SAMD00052619	DRR061421	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00052619.fa.gz
SAMD00052621	DRR061423	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00052621.fa.gz
SAMD00052625	DRR061427	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00052625.fa.gz
SAMD00055778	DRR065624	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00055778.fa.gz
SAMD00055790	DRR065636	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00055790.fa.gz
SAMD00057819	DRR067537	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00057819.fa.gz
SAMD00057820	DRR067538	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00057820.fa.gz
SAMD00057821	DRR067539	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00057821.fa.gz
SAMD00057822	DRR067540	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00057822.fa.gz
SAMD00058062	DRR400307	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00058062.fa.gz
SAMD00059718	DRR400308	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00059718.fa.gz
SAMD00059720	DRR400310	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00059720.fa.gz
SAMD00059724	DRR400311	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00059724.fa.gz
SAMD00059725	DRR400312	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00059725.fa.gz
SAMD00059730	DRR400313	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00059730.fa.gz
SAMD00059733	DRR400315	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00059733.fa.gz
SAMD00059736	DRR400317	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00059736.fa.gz
SAMD00059738	DRR400319	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00059738.fa.gz
SAMD00059739	DRR400320	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00059739.fa.gz
SAMD00059742	DRR400321	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00059742.fa.gz
SAMD00059761	DRR140922	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00059761.fa.gz
SAMD00066597	DRR076334	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066597.fa.gz
SAMD00066850	DRR076945	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066850.fa.gz
SAMD00066851	DRR076946	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066851.fa.gz
SAMD00066852	DRR076947	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066852.fa.gz
SAMD00066853	DRR076948	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066853.fa.gz
SAMD00066854	DRR076949	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066854.fa.gz
SAMD00066855	DRR076950	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066855.fa.gz
SAMD00066856	DRR076951	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066856.fa.gz
SAMD00066857	DRR076952	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066857.fa.gz
SAMD00066858	DRR076953	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066858.fa.gz
SAMD00066859	DRR076954	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066859.fa.gz
SAMD00066860	DRR076955	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066860.fa.gz
SAMD00066861	DRR076956	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066861.fa.gz
SAMD00066862	DRR076957	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066862.fa.gz
SAMD00066863	DRR076958	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066863.fa.gz
SAMD00066864	DRR076959	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066864.fa.gz
SAMD00066865	DRR076960	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066865.fa.gz
SAMD00066866	DRR076961	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066866.fa.gz
SAMD00066867	DRR076962	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066867.fa.gz
SAMD00066868	DRR076963	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066868.fa.gz
SAMD00066869	DRR076964	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066869.fa.gz
SAMD00066870	DRR076965	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066870.fa.gz
SAMD00066871	DRR076966	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066871.fa.gz
SAMD00066872	DRR076967	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066872.fa.gz
SAMD00066873	DRR076968	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066873.fa.gz
SAMD00066874	DRR076969	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066874.fa.gz
SAMD00066875	DRR076970	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066875.fa.gz
SAMD00066876	DRR076971	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00066876.fa.gz
SAMD00085834	DRR098844	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00085834.fa.gz
SAMD00092884	DRR100990	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092884.fa.gz
SAMD00092885	DRR100991	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092885.fa.gz
SAMD00092886	DRR100992	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092886.fa.gz
SAMD00092887	DRR100993	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092887.fa.gz
SAMD00092888	DRR100994	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092888.fa.gz
SAMD00092889	DRR100995	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092889.fa.gz
SAMD00092890	DRR100996	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092890.fa.gz
SAMD00092891	DRR100997	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092891.fa.gz
SAMD00092892	DRR100998	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092892.fa.gz
SAMD00092893	DRR100999	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092893.fa.gz
SAMD00092894	DRR101000	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092894.fa.gz
SAMD00092895	DRR101001	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092895.fa.gz
SAMD00092896	DRR101002	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092896.fa.gz
SAMD00092897	DRR101003	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092897.fa.gz
SAMD00092898	DRR101004	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00092898.fa.gz
