sample_id	Species	ST	sample_accession
DRR015585	Klebsiella pneumoniae		SAMD00013571
DRR057925	Klebsiella pneumoniae	ST29	SAMD00049595
DRR057926	Klebsiella pneumoniae	ST29	SAMD00049596
DRR061405	Klebsiella pneumoniae	ST258	SAMD00052601
DRR061406	Klebsiella pneumoniae	ST1593	SAMD00052602
DRR061407	Klebsiella pneumoniae	ST258	SAMD00052603
DRR061412	Klebsiella pneumoniae	ST2252	SAMD00052606
DRR061421	Klebsiella pneumoniae	ST258	SAMD00052619
DRR061423	Klebsiella pneumoniae	ST258	SAMD00052621
DRR061427	Klebsiella pneumoniae	ST258	SAMD00052625
DRR065624	Klebsiella variicola	ST2288	SAMD00055778
DRR065636	Klebsiella variicola	ST681	SAMD00055790
DRR067537	Klebsiella pneumoniae	ST225	SAMD00057819
DRR067538	Klebsiella pneumoniae	ST225	SAMD00057820
DRR067539	Klebsiella pneumoniae	ST225	SAMD00057821
DRR067540	Klebsiella pneumoniae	ST225	SAMD00057822
DRR400307	Klebsiella pneumoniae	ST340	SAMD00058062
DRR400308	Klebsiella pneumoniae	ST11	SAMD00059718
DRR400310	Klebsiella pneumoniae	ST231	SAMD00059720
DRR400311	Klebsiella pneumoniae	ST231	SAMD00059724
DRR400312	Klebsiella pneumoniae	ST35	SAMD00059725
DRR400313	Klebsiella pneumoniae	ST231	SAMD00059730
DRR400315	Klebsiella pneumoniae	ST231	SAMD00059733
DRR400317	Klebsiella pneumoniae	ST14	SAMD00059736
DRR400319	Klebsiella pneumoniae	ST231	SAMD00059738
DRR400320	Klebsiella pneumoniae	ST2071	SAMD00059739
DRR400321	Klebsiella pneumoniae	ST231	SAMD00059742
DRR140922	Klebsiella pneumoniae	ST147	SAMD00059761
DRR076334	Klebsiella pneumoniae	ST258	SAMD00066597
DRR076945	Klebsiella pneumoniae	ST15	SAMD00066850
DRR076946	Klebsiella pneumoniae	ST15	SAMD00066851
DRR076947	Klebsiella pneumoniae	ST15	SAMD00066852
DRR076948	Klebsiella pneumoniae	ST15	SAMD00066853
DRR076949	Klebsiella pneumoniae	ST15	SAMD00066854
DRR076950	Klebsiella pneumoniae	ST15	SAMD00066855
DRR076951	Klebsiella pneumoniae	ST15	SAMD00066856
DRR076952	Klebsiella pneumoniae	ST15	SAMD00066857
DRR076953	Klebsiella pneumoniae	ST15	SAMD00066858
DRR076954	Klebsiella pneumoniae	ST15	SAMD00066859
DRR076955	Klebsiella pneumoniae	ST307	SAMD00066860
DRR076956	Klebsiella pneumoniae	ST15	SAMD00066861
DRR076957	Klebsiella pneumoniae	ST15	SAMD00066862
DRR076958	Klebsiella pneumoniae	ST15	SAMD00066863
DRR076959	Klebsiella pneumoniae	ST15	SAMD00066864
DRR076960	Klebsiella pneumoniae	ST395	SAMD00066865
DRR076961	Klebsiella pneumoniae	ST15	SAMD00066866
DRR076962	Klebsiella pneumoniae	ST15	SAMD00066867
DRR076963	Klebsiella pneumoniae	ST15	SAMD00066868
DRR076964	Klebsiella pneumoniae	ST16	SAMD00066869
DRR076965	Klebsiella pneumoniae	ST16	SAMD00066870
DRR076966	Klebsiella pneumoniae	ST2353	SAMD00066871
DRR076967	Klebsiella pneumoniae	ST147	SAMD00066872
DRR076968	Klebsiella pneumoniae	ST16	SAMD00066873
DRR076969	Klebsiella pneumoniae	ST15	SAMD00066874
DRR076970	Klebsiella pneumoniae	ST16	SAMD00066875
