accession	layout	r1_url	r2_url
DRR150325	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150325/DRR150325_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150325/DRR150325_2.fastq.gz
DRR150339	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150339/DRR150339_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150339/DRR150339_2.fastq.gz
DRR150346	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150346/DRR150346_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150346/DRR150346_2.fastq.gz
DRR150347	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150347/DRR150347_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150347/DRR150347_2.fastq.gz
DRR150413	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150413/DRR150413_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150413/DRR150413_2.fastq.gz
DRR150690	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150690/DRR150690_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150690/DRR150690_2.fastq.gz
DRR201956	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR201/DRR201956/DRR201956_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR201/DRR201956/DRR201956_2.fastq.gz
ERR024818	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024818/ERR024818_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024818/ERR024818_2.fastq.gz
ERR024819	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024819/ERR024819_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024819/ERR024819_2.fastq.gz
ERR024821	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024821/ERR024821_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024821/ERR024821_2.fastq.gz
ERR024822	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024822/ERR024822_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024822/ERR024822_2.fastq.gz
ERR024823	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024823/ERR024823_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024823/ERR024823_2.fastq.gz
ERR024824	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024824/ERR024824_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024824/ERR024824_2.fastq.gz
ERR024826	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024826/ERR024826_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024826/ERR024826_2.fastq.gz
ERR024827	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024827/ERR024827_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024827/ERR024827_2.fastq.gz
ERR024828	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024828/ERR024828_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024828/ERR024828_2.fastq.gz
ERR024830	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024830/ERR024830_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024830/ERR024830_2.fastq.gz
ERR024833	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024833/ERR024833_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024833/ERR024833_2.fastq.gz
ERR024834	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024834/ERR024834_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024834/ERR024834_2.fastq.gz
ERR024835	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024835/ERR024835_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024835/ERR024835_2.fastq.gz
ERR024837	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024837/ERR024837_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024837/ERR024837_2.fastq.gz
ERR024838	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024838/ERR024838_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024838/ERR024838_2.fastq.gz
ERR024839	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024839/ERR024839_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024839/ERR024839_2.fastq.gz
ERR024840	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024840/ERR024840_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024840/ERR024840_2.fastq.gz
ERR024841	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024841/ERR024841_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024841/ERR024841_2.fastq.gz
ERR024844	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024844/ERR024844_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024844/ERR024844_2.fastq.gz
ERR024845	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024845/ERR024845_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024845/ERR024845_2.fastq.gz
ERR024847	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024847/ERR024847_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024847/ERR024847_2.fastq.gz
ERR024848	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024848/ERR024848_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024848/ERR024848_2.fastq.gz
ERR024851	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024851/ERR024851_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024851/ERR024851_2.fastq.gz
ERR024852	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024852/ERR024852_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024852/ERR024852_2.fastq.gz
ERR024853	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024853/ERR024853_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024853/ERR024853_2.fastq.gz
ERR024854	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024854/ERR024854_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024854/ERR024854_2.fastq.gz
ERR025098	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025098/ERR025098_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025098/ERR025098_2.fastq.gz
ERR025099	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025099/ERR025099_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025099/ERR025099_2.fastq.gz
ERR025102	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025102/ERR025102_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025102/ERR025102_2.fastq.gz
ERR025103	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025103/ERR025103_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025103/ERR025103_2.fastq.gz
ERR025104	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025104/ERR025104_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025104/ERR025104_2.fastq.gz
ERR025105	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025105/ERR025105_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025105/ERR025105_2.fastq.gz
ERR025107	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025107/ERR025107_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025107/ERR025107_2.fastq.gz
ERR025112	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025112/ERR025112_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025112/ERR025112_2.fastq.gz
ERR025113	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025113/ERR025113_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025113/ERR025113_2.fastq.gz
ERR025114	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025114/ERR025114_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025114/ERR025114_2.fastq.gz
ERR025116	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025116/ERR025116_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025116/ERR025116_2.fastq.gz
ERR025117	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025117/ERR025117_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025117/ERR025117_2.fastq.gz
ERR025118	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025118/ERR025118_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025118/ERR025118_2.fastq.gz
ERR025119	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025119/ERR025119_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025119/ERR025119_2.fastq.gz
ERR025120	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025120/ERR025120_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025120/ERR025120_2.fastq.gz
ERR025122	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025122/ERR025122_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025122/ERR025122_2.fastq.gz
ERR025124	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025124/ERR025124_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025124/ERR025124_2.fastq.gz
ERR025125	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025125/ERR025125_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025125/ERR025125_2.fastq.gz
ERR025126	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025126/ERR025126_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025126/ERR025126_2.fastq.gz
