accession	layout	r1_url	r2_url	biosample	read_count	stratum
DRR170691	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR170/DRR170691/DRR170691_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR170/DRR170691/DRR170691_2.fastq.gz	SAMD00164374	3087273	u
DRR170699	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR170/DRR170699/DRR170699_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR170/DRR170699/DRR170699_2.fastq.gz	SAMD00164378	2512379	u
ERR017169	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017169/ERR017169_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017169/ERR017169_2.fastq.gz	SAMEA734677	1061720	r
ERR017171	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017171/ERR017171_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017171/ERR017171_2.fastq.gz	SAMEA734757	1041497	r
ERR017173	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017173/ERR017173_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017173/ERR017173_2.fastq.gz	SAMEA734681	992769	r
ERR017178	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017178/ERR017178_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017178/ERR017178_2.fastq.gz	SAMEA734678	1403108	r
ERR017181	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017181/ERR017181_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017181/ERR017181_2.fastq.gz	SAMEA734758	782684	r
ERR017187	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017187/ERR017187_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017187/ERR017187_2.fastq.gz	SAMEA734756	601951	r
ERR017190	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017190/ERR017190_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017190/ERR017190_2.fastq.gz	SAMEA734753	927332	s
ERR017193	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017193/ERR017193_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017193/ERR017193_2.fastq.gz	SAMEA734730	751776	r
ERR017197	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017197/ERR017197_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017197/ERR017197_2.fastq.gz	SAMEA734793	709157	r
ERR017199	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017199/ERR017199_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017199/ERR017199_2.fastq.gz	SAMEA734724	1644343	r
ERR017200	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017200/ERR017200_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017200/ERR017200_2.fastq.gz	SAMEA734733	1264178	r
