sample_id	adeA	adeB	adeC	adeI	adeJ	adeK	adeR	adeS	blaOXA-23	blaOXA-69	crr_adeA	crr_adeB	crr_adeC	crr_adeI	crr_adeJ	crr_adeK	crr_adeR	crr_adeS	crr_blaOXA-23	crr_blaOXA-69
ERR110067	1	1	1	1	1	1	1	1	1	1	0.997132856183539	1.0050943276120117	1.0272637958938586	0.9823705592574488	0.971436616545226	0.9780646580822168	0.9306213823167332	1.0273600242086578	0.0	0.9806463438071013
ERR110081	1	1	1	1	1	1	1	1	1	1	1.1416977752980852	1.024044995988651	1.040823483353715	1.0962686376153377	1.07474292333549	1.041467354910824	0.9603454681877724	1.0620187351515364	0.0	0.9354444577681872
ERR110082	1	1	1	1	1	1	1	1	1	1	1.1053114287235557	1.0752238642395484	1.0992837732355114	1.0153309244254578	0.9522750714381986	1.1140811274721047	1.0874258563754915	1.061224268433484	0.0	0.9086534502640554
ERR110086	1	1	1	1	1	1	1	1	1	1	1.024719869616795	1.045564929750317	1.0711909805775173	0.945246136269094	1.019389459402242	1.022085789183146	0.9010107564202954	1.0096687568374247	1.556008867252064	1.0865796828071392
ERR110098	1	1	1	1	1	1	1	1	1	1	1.0856688982763896	1.0146548049823876	0.963630619862646	1.0067401156800593	1.001437679683666	0.9855652402199784	0.8984416249936316	1.0426805159857342	0.0010320720960639	0.9400324443743008
ERR110100	1	1	1	1	1	1	1	1	1	1	0.9629730807963784	0.998053187500242	1.0198500082043775	1.127400921217607	1.012587096311498	0.990731237605724	0.9526716185589372	0.952641957976988	0.0007449333055959	0.99658418155685
ERR110102	1	1	1	1	1	1	1	1	1	1	1.0501642296580909	1.0261949710209477	1.0760802925628172	1.0151341680384929	1.0088637086219143	1.0222410497319594	0.8805829986502098	1.001758150397161	0.0035445158176486	0.9329911286847842
ERR119657	1	1	1	1	1	1	1	1	1	1	0.9742496859811456	1.0084579324985188	1.014868908428597	0.9645972338978184	0.9189200944587927	0.9253479174919892	0.9896712017862168	1.054359311253554	0.0006253538708873	0.957328188720129
ERR119659	1	1	1	1	1	1	1	1	1	1	0.913470146145129	0.992294778910594	0.9413703713544602	0.94626123760585	0.9582143855283688	0.9478144168706624	0.9310388531159992	0.9957658622204106	0.0046999709059352	0.9537390478700604
ERR119660	1	1	1	1	1	1	1	1	1	1	0.9542584934740632	0.9935750097576602	0.970918398211044	1.0012900591654883	0.9728026047581262	0.9275604651817144	0.9648319558651332	1.0129888655634551	0.0	0.9561204064101076
ERR119664	1	1	1	1	1	1	1	1	1	1	1.0207043027174896	1.0252622620145322	1.038430686815693	0.9927399504548392	0.977378216361267	1.010241809576504	0.9987133572162652	1.0173720052251427	0.0016613339011922	0.8964071721452451
ERR119668	1	1	1	1	1	1	1	1	1	1	1.052735963456296	1.0034976264204911	0.9647044540424208	1.0357409467647878	1.0136486044733934	0.9920340278886142	0.8993882624275331	0.978499729841546	0.0	1.0037551205014503
