sample_id	CDR1	ERG11	FKS1	crr_CDR1	crr_ERG11	crr_FKS1
ERR12543616	1	1	1	1.0591483328235582	1.0582087998793843	1.082395913235146
ERR12543628	1	1	1	1.0587733625747826	0.9056290452207056	1.101308445626605
ERR12543629	1	1	1	1.0985971358466986	0.9437969710498572	1.0323613220947538
ERR12543633	1	1	1	0.963725980962303	0.9947490793815732	0.9682439639348408
ERR12543634	1	1	1	1.0424287628227178	1.074570074577288	1.1234893635397556
ERR12543643	1	1	1	1.0678262960899652	1.082223582444426	1.078832079754931
ERR12543645	1	1	1	1.0064909272460831	0.990233002296434	1.0793882703586202
ERR12543651	1	1	1	1.0104448051322272	0.9900921133553028	1.0368737615314625
ERR12543653	1	1	1	1.0644247670802351	1.0235381107526047	1.0723505471945942
ERR12543656	1	1	1	1.0898625958954558	0.9688049398167504	1.135386486627859
ERR12543668	1	1	1	1.0265735511718823	1.0148436322972283	1.052955014366995
ERR12543674	1	1	1	1.045680648709075	1.002695816849846	1.11105110232018
ERR14122518	1	1	1	1.163262932468653	1.0641829429902705	1.1344798554009163
ERR14122526	1	1	1	1.07892721579989	1.0672308090973153	1.1014450780088
ERR1519357	1	1	1	1.1789835015883736	1.0994236510944226	1.2849641240166565
ERR1519359	1	1	1	1.1154685296324196	1.0481315123146675	1.1794328375964254
ERR15404900	1	1	1	0.9869665813503772	0.9758040305402262	0.963997050927566
ERR15404916	1	2	2	1.263187039078011	1.2735110115381418	1.4544264973967354
ERR15404918	1	2	2	1.0179825666769773	1.2209735223192832	1.272357182386414
ERR15404924	1	2	2	0.8510526626059477	1.1791275911226122	1.2071022109434786
ERR2299872	1	2	2	1.041970908930871	1.4046690559119552	1.395478464687134
ERR2299873	1	1	1	1.0844178332585857	1.211213788283106	1.3110102920827584
ERR2299878	1	2	2	1.125798696118459	1.4872964511390678	1.4551686742521042
ERR2299885	1	2	2	1.106988409027649	1.3130626702007908	1.3588175659991024
ERR2299886	1	1	1	0.948699691012932	0.936463689195049	0.9917532185589052
ERR2299889	1	1	1	0.9276127307489196	0.9814446497449164	1.0873633751998324
ERR2300780	1	1	1	1.0005844960008925	0.9435884759085026	1.0137818247451398
ERR2300781	1	1	1	1.0057067168886935	0.990260084979199	1.0785417974118936
ERR2300788	1	1	1	1.034438316934123	0.927950957194225	1.0708139393795737
ERR2300793	1	1	1	1.0611159240711945	0.9565663126318704	1.0737941079560174
ERR2300807	1	1	1	1.0453414866365145	1.002744668065811	1.1107047559700085
ERR2300809	1	1	1	1.0678105004059644	1.0133294814993186	1.0701297795560258
ERR2300812	1	1	1	0.9877898058750172	1.0758081404055808	1.1797575169449606
ERR2300813	1	1	1	1.0127061233958898	1.1956189192963542	1.168430240916446
ERR3503260	1	1	1	1.1592753659664965	0.9598245943500614	1.1754520699834317
ERR3503262	-1	-1	-1	1.1959748196540094	1.0614580872183552	1.2234249360689116
ERR3503269	1	1	1	1.1288800755428865	1.2037789499099376	0.8327934320648986
ERR3503273	1	1	1	1.0199986392457616	1.1057554684952164	0.796174375881577
ERR4669816	1	1	1	0.9394382115419656	0.88881804685499	1.0250043973271914
ERR4669824	1	1	1	0.9101385177389204	0.9225490056661596	0.9799383963899416
ERR5162370	1	1	1	0.979229989870782	0.9978778132488584	1.1397360015480325
ERR5162374	1	1	1	1.021285662218301	0.8316432550756225	1.090182301020811
