sample_id	aac6-Ib-cr	blaCTX-M-14	blaCTX-M-15	blaCTX-M-27	blaCTX-M-65	blaKPC-2	blaNDM-1	blaNDM-5	blaOXA-181	blaOXA-48	blaTEM-1	qnrB1	pcn_aac6-Ib-cr	pcn_blaCTX-M-14	pcn_blaCTX-M-15	pcn_blaCTX-M-27	pcn_blaCTX-M-65	pcn_blaKPC-2	pcn_blaNDM-1	pcn_blaNDM-5	pcn_blaOXA-181	pcn_blaOXA-48	pcn_blaTEM-1	pcn_qnrB1
DRR150325	1	-1	1	-1	-1	0	2	-1	-1	0	1	0	0.938		0.6703			0.0	3.0997			0.0055	0.208	0.0086
DRR150339	1	-1	2	-1	-1	0	2	-1	-1	0	1	0	0.6824		2.0497			0.0	2.7825			0.0068	1.4872	0.0283
DRR150413	1	-1	0	-1	-1	0	2	-1	-1	0	1	2	0.7564		0.488			0.0	3.4431			0.0048	0.2163	3.883
ERR024819	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0383			0.0	0.0			0.0	0.067	0.0
ERR024833	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0	0.0
ERR024835	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0261		0.2826			0.0	0.0			0.0	0.4348	0.0362
ERR024847	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0081			0.0	0.0			0.0	0.0	0.0
ERR024852	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.3443			0.0	0.0			0.0	0.2172	0.0123
ERR025103	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0	0.0
ERR025104	1	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.1439		0.407			0.0	0.0807			0.0	1.3404	0.0105
ERR025113	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.0			0.0	0.0			0.0	0.0	0.0
ERR025114	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.0015			0.0	0.0			0.0	0.4789	0.0
ERR025118	2	-1	2	-1	-1	0	0	-1	-1	0	1	0	1.9515		2.9532			0.0	0.1003			0.0067	0.8027	0.1371
ERR025119	0	-1	2	-1	-1	0	0	-1	-1	0	1	0	0.0042		1.5805			0.0	0.0212			0.0	0.6102	0.0169
ERR025126	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0		0.1804			0.0	0.0392			0.0	0.0	0.0
ERR025131	0	-1	0	-1	-1	0	0	-1	-1	0	1	0	0.0		0.0063			0.0	0.0			0.0	0.4514	0.0
ERR025134	0	-1	0	-1	-1	0	1	-1	-1	0	1	0	0.0		0.3404			0.0	1.0213			0.0	0.6941	0.008
ERR025138	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0016		0.1244			0.0	0.0008			0.0	0.0008	0.0
ERR025140	0	-1	2	-1	-1	0	1	-1	-1	0	1	0	0.0008		2.2695			0.0	1.3076			0.0	0.4983	0.0288
ERR025142	0	-1	0	-1	-1	0	0	-1	-1	0	0	0	0.0043		0.1064			0.0	0.0			0.0	0.0	0.0
ERR025473	1	-1	2	-1	-1	0	0	-1	-1	1	1	0	0.1403		1.9597			0.0008	0.0261			0.7782	0.7134	0.0252
ERR025486	0	-1	2	-1	-1	0	2	-1	-1	0	1	0	0.0321		1.8824			0.0	2.3527			0.0071	1.1247	0.0356
