bin_cluster	n_bins	approx_pos_Mb	genes	products	KEGG_pathways	EC	max_n_STs	best_q	antibiotics
279–281	2	0.28	KPHS_02370, KPHS_02380, KPHS_02390, KPHS_02410, KPHS_02420	sorbose permease IID component / sorbose permease IIC component / PTS enzyme IIAB, mannose-specific / sorbitol-6-phosphate 2-dehydrogenase	Fructose and mannose metabolism (4); Phosphotransferase system (PTS) (3)	1.1.1.140 | 2.7.1.206	21	0.0003258609580764	cefepime, cefoxitin, ceftriaxone
4473	1	4.47	KPHS_44360, KPHS_44370	short chain dehydrogenase / 3-phenylpropionate dioxygenase subunit alpha	—	—	13	0.0054068708552671	ceftriaxone
2687	1	2.69	KPHS_26730, KPHS_26740	carbohydrate kinase / putative ABC transporter, nucleotide binding/ATPase protein	Pentose phosphate pathway (1); ABC transporters (1); Bacterial chemotaxis (1)	2.7.1.15	9	0.0171830810315573	cefoxitin
2698	1	2.7	KPHS_26850, KPHS_26860	LysR family transcriptional regulator / MFS family transporter	—	—	8	0.0013898654695978	ceftriaxone
4465	1	4.46	KPHS_44270, KPHS_44280	putative aldehyde dehydrogenase / aspartate dehydrogenase	Nicotinate and nicotinamide metabolism (1); Biosynthesis of cofactors (1)	1.4.1.21	8	0.047240326653086	ceftriaxone
2351–2353	2	2.35	KPHS_23170, KPHS_23180, KPHS_23190, KPHS_23200, KPHS_23210, KPHS_23220	type VI secretion system baseplate subunit TssF / type VI secretion system baseplate subunit TssG / type VI secretion system lipoprotein TssJ / hypothetical protein	Bacterial secretion system (1)	—	5	7.720055847342225e-06	cefazolin, cefepime, cefoxitin, ceftriaxone
1479–1480	2	1.48	KPHS_14280, KPHS_14290, KPHS_14260, KPHS_14270	sugar ABC transporter permease / putative ribose ABC transport system ATP-binding component / short-chain dehydrogenase/reductase SDR / ribose transport system permease	ABC transporters (2); Butanoate metabolism (1)	 1.1.1.304 | 1.1.1.76 	5	3.2941377274599286e-05	cefazolin, cefepime, cefoxitin, ceftriaxone
1519	1	1.52	KPHS_14620, KPHS_14630	IS3 family transposase / methylthioribose kinase	Cysteine and methionine metabolism (1)	2.7.1.100	5	6.65589197202876e-05	cefazolin, cefepime, ceftriaxone
4469	1	4.47	KPHS_44320, KPHS_44330	major facilitator superfamily transporter MFS_1 / putative ferredoxin reductase subunit	Fatty acid degradation (1); Phenylalanine metabolism (1); Benzoate degradation (1)	1.18.1.3	5	0.0001853530048728	ceftriaxone
3260–3263	3	3.26	KPHS_32750, KPHS_32760, KPHS_32770, KPHS_32780	OmpA family protein / membrane protein / type VI secretion system baseplate subunit TssK / hypothetical protein	Bacterial secretion system (1)	—	5	0.0014911360125064	cefepime, cefoxitin, ceftriaxone
1621	1	1.62	KPHS_15540, KPHS_15550, KPHS_15560	putative hydrolase-oxidase / putative carboxylase	Glutathione metabolism (2)	3.5.2.9	5	0.037041567116392	ceftriaxone
1486	1	1.49	KPHS_14330, KPHS_14340	putative sugar-binding domain protein / transketolase domain-containing protein	Pentose phosphate pathway (1); Carbon fixation by Calvin cycle (1); Microbial metabolism in diverse environments (1)	2.2.1.1	4	0.0001892603868667	cefazolin, cefepime, cefoxitin, ceftriaxone
2853	1	2.85	KPHS_28500	cryptic nitrate reductase 2 subunit alpha	Nitrogen metabolism (1); Microbial metabolism in diverse environments (1); Nitrogen cycle (1)	1.7.5.1	4	0.0010942863478841	cefepime, cefoxitin, ceftriaxone
787–788	2	0.79	KPHS_07470, KPHS_07460	Citrate lyase alpha chaincitrate lyase alpha-subunit / putative citrate lyase beta chain (acyl lyase subunit)	Two-component system (2)	2.8.3.10 | 4.1.3.34	4	0.0018848715735288	cefazolin, cefepime, cefoxitin, ceftriaxone
3241	1	3.24	KPHS_32500	type VI secretion protein VasK	Bacterial secretion system (1)	—	4	0.0073955547928332	cefepime, ceftriaxone
1433–1435	2	1.43	KPHS_13800, KPHS_13810, KPHS_13820, KPHS_13830, KPHS_13840	putative inner membrane protein / putative transport protein, PTS system	Phosphotransferase system (PTS) (4); Fructose and mannose metabolism (1); Amino sugar and nucleotide sugar metabolism (1)	2.7.1.191	3	5.45262073233864e-06	cefazolin, cefepime, cefoxitin, ceftriaxone
1483	1	1.48	KPHS_14310, KPHS_14320	sugar ABC transporter periplasmic sugar-binding protein / Carbohydrate kinase, FGGY-like protein	ABC transporters (1); Glycerolipid metabolism (1)	2.7.1.30	3	1.3769323205784202e-05	cefazolin, cefepime, cefoxitin, ceftriaxone
2346	1	2.35	KPHS_23140	ImcF domain-containing protein	Bacterial secretion system (1)	—	3	1.9936533574834286e-05	cefazolin, cefepime, cefoxitin, ceftriaxone
5169	1	5.17	KPHS_51480, KPHS_51490	putative ABC-type multidrug transport system, ATPase component / putative transposase	—	—	3	4.627195478186026e-05	cefazolin, cefepime, cefoxitin, ceftriaxone
5077	1	5.08	KPHS_50590	IS3 family transposase	—	—	3	8.870463750426916e-05	cefepime, cefoxitin, ceftriaxone
2537	1	2.54	KPHS_25080, KPHS_25090, KPHS_25100	putative 2-component transcriptional regulator / hypothetical protein	—	—	3	0.0018916144563222	ceftriaxone
2663–2665	2	2.66	KPHS_26510, KPHS_26520, KPHS_26480, KPHS_26490	putative helix-turn-helix AraC-type transcriptional regulator / glyceraldehyde-3-phosphate dehydrogenase / hypothetical protein / alpha/beta hydrolase	Glycolysis / Gluconeogenesis (1); Carbon fixation by Calvin cycle (1); Microbial metabolism in diverse environments (1)	1.2.1.12	3	0.0028619017037248	cefepime, cefoxitin, ceftriaxone
