accession	species	ST	Bla_acquired	Bla_ESBL_acquired	Bla_Carb_acquired	AGly_acquired	Flq_acquired	Tet_acquired	Sul_acquired	virulence_score	resistance_score
DRR150325	Klebsiella quasipneumoniae subsp. similipneumoniae	ST477	OXA-1	-	NDM-1	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	-	tet(A).v1	sul1	0	2
DRR150413	Klebsiella pneumoniae	ST273	DHA-1;OXA-1	-	NDM-1	aac(6')-Ib;rmtF;strA.v1;strB.v1	qnrB1.v1;qnrB4	tet(D)	sul1;sul2	0	2
ERR024819	Klebsiella pneumoniae	ST1109	-	-	-	-	-	-	-	0	0
ERR024835	Klebsiella pneumoniae	ST292	TEM-1D.v1^	-	-	aadA^	-	-	sul1	0	0
ERR024847	Klebsiella pneumoniae	ST66	-	-	-	-	-	-	-	5	0
ERR024852	Klebsiella pneumoniae	ST1779	TEM-1D.v1^	-	-	-	-	tet(D)	-	0	0
ERR025104	Klebsiella pneumoniae	ST48	OXA-9.v1;TEM-1D.v1^	-	-	aac(6')-Ib'.v1*;aadA*	-	-	-	1	0
ERR025119	Klebsiella pneumoniae	ST359	-	CTX-M-9	-	aadA2;ant(2'')-Ia	qnrA1^	-	sul1	0	1
ERR025126	Klebsiella pneumoniae	ST180	-	-	-	-	-	-	-	0	0
ERR025131	Klebsiella pneumoniae	ST187	-	-	-	-	-	-	-	0	0
ERR025140	Klebsiella pneumoniae	ST2141	-	-	-	strA.v1	-	-	-	0	0
ERR025486	Klebsiella pneumoniae	ST416	LAP-2;TEM-1D.v1^	CTX-M-14;SHV-2	-	aac(3)-IId^;aadA2^;strA.v1;strB.v1	qnrS1	tet(D)	sul1;sul2	0	1
ERR025489	Klebsiella pneumoniae	ST2124	-	-	-	aac(3)-IIa.v1^;strA.v1;strB.v1	-	tet(D)	sul2	0	0
ERR025497	Klebsiella pneumoniae	ST2136	LAP-2	CTX-M-14	-	aac(3)-IId^	qnrS1	-	-	0	1
ERR025511	Klebsiella pneumoniae	ST2128	LAP-2	-	-	aac(3)-IV^;aadA2^;aph(4)-Ia;aph3-Ia.v1^	qnrS1	tet(A).v1	sul2	0	0
ERR025531	Klebsiella pneumoniae	ST273	LAP-2;TEM-1D.v1^	CTX-M-14	-	aac(3)-IId^;strA.v1*;strB.v1*	qnrS1	tet(D)	sul2	0	1
ERR025558	Klebsiella pneumoniae	ST540	LAP-2	CTX-M-14	-	aac(3)-IId^	qnrS1	-	-	0	1
ERR025560	Klebsiella quasipneumoniae subsp. similipneumoniae	ST2133	LAP-2?;OXA-10	SHV-2;VEB-1	-	aac(3)-IId^;aac(6')-Ia*;aadA*;ant(2'')-Ia;ant(2'')-Ia	qnrA1;qnrS1	tet(A).v1;tet(D)	sul1	0	1
ERR025563	Klebsiella pneumoniae	ST176	-	-	-	-	-	-	-	1	0
ERR025590	Klebsiella pneumoniae	ST25-1LV	AmpC1;TEM-1D.v1^	-	-	aadA5;strA.v1^;strB.v1*	-	tet(A).v1*	sul2*	4	0
ERR025599	Klebsiella pneumoniae	ST37-1LV	-	-	-	-	-	-	-	0	0
ERR025602	Klebsiella pneumoniae	ST15-1LV	TEM-1D.v1^	-	-	aadA1.v1^;strA.v1;strB.v1	-	tet(A).v1	sul1;sul2	0	0
ERR025606	Klebsiella pneumoniae	ST291-1LV	-	-	-	-	-	-	-	0	0
ERR025610	Klebsiella pneumoniae	ST281	-	-	-	-	-	-	-	0	0
ERR025614	Klebsiella pneumoniae	ST211	-	-	-	-	-	-	-	0	0
ERR025632	Klebsiella quasipneumoniae subsp. similipneumoniae	ST2355-1LV	-	-	-	aac(3)-IId^	qnrS1	tet(D)	-	0	0
ERR025640	Klebsiella pneumoniae	ST201-1LV	-	-	-	strA.v1;strB.v1*	-	tet(B).v2*	-	0	0
ERR025641	Klebsiella pneumoniae	ST794-2LV	-	-	-	-	-	tet(A).v1*	-	0	0
ERR025659	Klebsiella pneumoniae	ST43	TEM-1D.v1^;TEM-1D.v1^	-	-	aac(3)-IId^;aph3-Ia.v1^	-	-	-	3	0
ERR025661	Klebsiella pneumoniae	ST43	CARB-2.v1^	SHV-2A^	-	aac(6')-Iai;aadA2	-	tet(G).v1	sul2	0	1
ERR025668	Klebsiella pneumoniae	ST43	TEM-1D.v1^;TEM-1D.v1^	-	-	aac(3)-IId^;aph3-Ia.v1^	-	-	-	3	0
ERR025679	Klebsiella pneumoniae	ST656	LAP-2;TEM-1D.v1^	-	-	aac(3)-IId^;aph3-Ia.v1^	qnrB2.v1^;qnrS1	tet(A).v1	sul1;sul1	1	0
ERR025981	Klebsiella pneumoniae	ST249	-	-	-	-	-	-	-	0	0
ERR025986	Klebsiella quasipneumoniae subsp. quasipneumoniae	ST196-1LV	-	-	-	-	-	-	-	0	0
ERR025998	Klebsiella pneumoniae	ST1411	-	-	-	aac(3)-IId^;aph3-Ia.v1*?	-	tet(D)	sul2	0	0
ERR10016620	Klebsiella variicola subsp. variicola	ST146	-	-	-	-	-	-	-	0	0
ERR10016665	Klebsiella variicola subsp. variicola	ST146	-	-	-	-	-	-	-	0	0
ERR10019338	Klebsiella pneumoniae	ST340	DHA-1;TEM-1D.v1^	-	OXA-232	aadA2^;aadA^;aph3-Ia.v1^	qnrB4	tet(A).v1	sul1;sul3	0	2
ERR10030721	Klebsiella pneumoniae	ST13	OXA-9.v1;TEM-1D.v1^	-	KPC-3	aac(6')-Ib'.v1*;aadA*;strA.v1^;strB.v1	-	-	sul2	2	3
ERR10030753	Klebsiella pneumoniae	ST423	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	sul2	0	1
ERR10030755	Klebsiella pneumoniae	ST3030	-	-	-	-	-	-	-	0	0
ERR10030757	Klebsiella pneumoniae	ST274	TEM-1D.v1^	-	-	aph3-Ia.v1*?;strA.v1^;strB.v1	-	tet(D)	sul2	1	0
ERR10030769	Klebsiella pneumoniae	ST294	-	-	-	-	-	-	-	0	0
ERR10030818	Klebsiella pneumoniae	ST423	-	CTX-M-32	-	aac(6')-Ib'.v2	-	-	-	0	1
ERR10030839	Klebsiella pneumoniae	ST25	SCO-1	TEM-10.v2	-	aac(3)-IIa.v1	-	-	-	1	1
ERR10030842	Klebsiella pneumoniae	ST25	OXA-9.v1;SCO-1	TEM-10.v2	-	aac(3)-IIa.v1;aac(6')-Ib'.v1;aadA*	-	tet(D)	sul1	1	1
ERR10030844	Klebsiella pneumoniae	ST289-2LV	-	-	-	-	-	-	-	0	0
ERR10030855	Klebsiella pneumoniae	ST2493	OXA-9.v1;TEM-1D.v1^	-	-	aac(6')-Ib'.v1*;aadA*	-	tet(D)	-	0	0
ERR10030865	Klebsiella pneumoniae	ST348	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	1
ERR10030879	Klebsiella pneumoniae	ST726	OXA-1;TEM-1D.v1^	-	KPC-3	aac(3)-IId^;aac(6')-Ib-cr.v2;aph3-Ia.v1^;strA.v1;strB.v1	-	tet(D)	sul1;sul2	0	2
ERR10030883	Klebsiella pneumoniae	ST231	-	-	-	aac(3)-IId^;aac(6')-Ib-cr.v2;aadA*;aadA16*;strA.v1*;strB.v1*	qnrB6^	tet(D)	sul1;sul1;sul2*	1	0
ERR10030888	Klebsiella pneumoniae	ST336	TEM-1D.v1^	CTX-M-15	-	strA.v1^;strB.v1	qnrB1.v2^	-	sul2	1	1
ERR10030890	Klebsiella pneumoniae	ST134	OXA-9.v1	-	-	aac(6')-Ib-cr.v2*;aadA*	-	-	-	0	0
ERR10030893	Klebsiella pneumoniae	ST231	-	CTX-M-15	-	aac(3)-IId^;aac(6')-Ib-cr.v2;aadA*;aadA16*;strA.v1*;strB.v1*	qnrB6^	tet(D)	sul1;sul1;sul2*	1	1
ERR10030913	Klebsiella pneumoniae	ST15	OXA-9.v1;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib'.v1;aadA*	qnrB1.v1	-	-	1	1
ERR10030962	Klebsiella pneumoniae	ST13	OXA-9.v1;TEM-1D.v1^	-	-	aac(3)-IIa.v1;aac(6')-Ib'.v1;aph(3')-Ia	-	tet(B).v2*	sul1	0	0
ERR10030964	Klebsiella pneumoniae	ST13	-	-	-	-	-	-	-	0	0
ERR10030983	Klebsiella pneumoniae	ST12	SCO-1^;TEM-1D.v1^	-	-	aac(3)-IIa.v1;strA.v1;strB.v1	-	tet(B).v2*	sul2	0	0
ERR10030996	Klebsiella pneumoniae	ST17	-	-	OXA-181	aac(6')-Ib-cr.v2;aadA16*	qnrS1	-	sul1;sul2	1	2
ERR10031012	Klebsiella pneumoniae	ST70	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	1
ERR10031023	Klebsiella pneumoniae	ST70	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	1	1
ERR10031039	Klebsiella pneumoniae	ST15	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA1.v1^;strA.v1^;strB.v1	-	tet(B).v2*;tet(D)	sul1	0	1
ERR10031043	Klebsiella pneumoniae	ST3661	-	-	-	-	-	-	-	0	0
ERR10031049	Klebsiella pneumoniae	ST14	SCO-1;TEM-1D.v1^	SHV-106	-	aac(3)-IIa.v1;aadA2;aadA^;aph(3')-Ia	-	-	sul1	1	1
ERR10031061	Klebsiella pneumoniae	ST14	SCO-1;TEM-1D.v1^	SHV-106	-	aac(3)-IIa.v1;aadA2;aadA^;aph(3')-Ia	-	-	sul1	1	1
ERR10031127	Klebsiella pneumoniae	ST416	OXA-9.v1;TEM-1D.v1^	-	KPC-3	aac(6')-Ib'.v1*;aadA*;strA.v1^;strB.v1	-	tet(B).v2*	sul2	0	2
ERR10039993	Klebsiella pneumoniae	ST101	OXA-1	CTX-M-15	NDM-1	aac(3)-IIa.v1^;aac(6')-Ib	-	-	-	1	2
ERR10040002	Klebsiella pneumoniae	ST1082	DHA-1	-	-	-	qnrB4	tet(D)	sul1	0	0
ERR10040003	Klebsiella pneumoniae	ST1082	-	-	-	-	-	tet(D)	-	0	0
ERR10040005	Klebsiella pneumoniae	ST2457	OXA-1	-	-	aac(6')-Ib-cr.v2	qnrB2.v1^	tet(E).v1*	sul1	0	0
ERR10040045	Klebsiella pneumoniae	ST392	OXA-1;TEM-1D.v1^	CTX-M-15	OXA-48	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	2
ERR10040065	Klebsiella pneumoniae	ST395	OXA-1	-	-	aac(6')-Ib-cr.v2	-	tet(A).v1	sul1	0	0
ERR10040080	Klebsiella pneumoniae	ST4097	-	-	-	-	-	-	-	0	0
ERR10040100	Klebsiella pneumoniae	ST405	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	-	sul2	1	1
ERR1008640	Klebsiella variicola subsp. variicola	ST3080	-	-	-	-	-	-	-	0	0
ERR1008646	Klebsiella pneumoniae	ST3050	TEM-1D.v1^	-	-	strA.v1^;strB.v1*	qnrS1	tet(D)	sul2	0	0
ERR1008651	Klebsiella pneumoniae	ST2415	-	-	-	-	-	-	-	0	0
ERR1008667	Klebsiella pneumoniae	ST247	-	-	-	-	-	-	-	0	0
ERR1008673	Klebsiella variicola subsp. variicola	ST2989	-	-	-	-	-	-	-	0	0
ERR1008676	Klebsiella pneumoniae	ST3045	-	-	-	-	-	-	-	0	0
ERR1008691	Klebsiella pneumoniae	ST3075	-	-	-	-	-	-	-	0	0
ERR1008695	Klebsiella variicola subsp. variicola	ST616	-	-	-	-	-	-	-	0	0
ERR1008697	Klebsiella pneumoniae	ST889	-	-	-	-	-	-	-	1	0
ERR1008710	Klebsiella pneumoniae	ST3046	-	-	-	-	-	-	-	0	0
ERR1008757	Klebsiella pneumoniae	ST27	-	-	-	-	-	-	-	0	0
ERR1008770	Klebsiella pneumoniae	ST792	-	-	-	-	-	-	-	2	0
ERR1015292	Klebsiella pneumoniae	ST323	OXA-1	-	-	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	qnrB1.v2^	tet(A).v1	-	0	0
ERR10178493	Klebsiella pneumoniae	ST442-1LV	-	-	-	-	-	-	-	0	0
ERR1023628	Klebsiella pneumoniae	ST323	OXA-1;TEM-1D.v1^	CTX-M-15	-	aac(6')-Ib-cr.v2;strA.v1^;strB.v1	qnrB1.v2^	tet(A).v1	sul2	0	1
ERR1023637	Klebsiella variicola subsp. variicola	ST2089	-	-	-	-	-	-	-	0	0
ERR1023642	Klebsiella variicola subsp. variicola	ST925	-	-	-	-	-	-	-	0	0
ERR1023669	Klebsiella pneumoniae	ST152	-	-	-	-	-	-	-	1	0
ERR1023672	Klebsiella variicola subsp. variicola	ST601	-	-	-	-	-	-	-	0	0
ERR1023677	Klebsiella variicola subsp. variicola	ST386	-	-	-	-	-	-	-	0	0
