gene	contig	start	end	absent_threshold
blaKPC-2	NC_016846.1	20557	21435	0.20
blaCTX-M-15	MK552109.1	119392	120264	0.50
blaNDM-1	MZ606384.2	90937	91746	0.20
blaCTX-M-14	NZ_CP031850.1	113509	114381	1.00
blaTEM-1	NZ_KX236178.1	66790	67650	0.20
qnrB1	NC_016980.1	18421	19100	0.20
aac6-Ib-cr	CP006662.2	38208	38689	0.10
blaOXA-48	JN626286.1	5445	6242	0.20
blaNDM-5	CP034201.2	69698	70263	0.2
blaOXA-181	CP113224.1	28840	29637	0.2
blaCTX-M-65	CP030319.1	6227	7049	0.2
blaCTX-M-27	CP138680.1	183201	184385	0.2
dfrA12	MH287085.1	165546	166004	0.20
dfrA14	MN540571.1	214922	215395	0.20
sul1	MZ382871.1	123515	124296	0.20
sul2	OQ801413.1	246445	247310	0.20
blaOXA-232	KX523904.1	2677	3474	0.20
blaSHV	CP061207.1	1	861	0.20
mcr-1	NZ_CP031850.1	58946	60571	0.20
