sample_id	Species	ST
DRR122466	Klebsiella pneumoniae	ST340
DRR122504	Klebsiella pneumoniae	ST147
DRR138477	Klebsiella pneumoniae	ST394
DRR150502	Klebsiella pneumoniae	ST11
DRR150572	Klebsiella pneumoniae	ST11
DRR223364	Klebsiella pneumoniae	ST967
DRR281099	Klebsiella quasipneumoniae	ST1535
DRR316627	Klebsiella variicola	ST4182-3LV
DRR316634	Klebsiella variicola	ST601-1LV
DRR320150	Klebsiella pneumoniae	ST592
DRR385989	Klebsiella quasipneumoniae	ST2352
DRR386608	Klebsiella pneumoniae	ST412
DRR386706	Klebsiella pneumoniae	ST2715
DRR387221	Klebsiella pneumoniae	ST412
DRR388260	Klebsiella pneumoniae	ST1786
DRR388677	Klebsiella pneumoniae	ST25
DRR389145	Klebsiella pneumoniae	ST20
DRR389479	Klebsiella pneumoniae	ST48
DRR389489	Klebsiella variicola	ST519
DRR389997	Klebsiella pneumoniae	ST37
DRR390770	Klebsiella pneumoniae	ST35
DRR391002	Klebsiella pneumoniae	ST37
DRR400309	Klebsiella pneumoniae	ST231
ERR10016558	Klebsiella variicola	ST146
ERR10030781	Klebsiella pneumoniae	ST15
ERR10030828	Klebsiella pneumoniae	ST15
ERR10030867	Klebsiella pneumoniae	ST405
ERR10030884	Klebsiella pneumoniae	ST336
ERR10031146	Klebsiella pneumoniae	ST15
ERR10040086	Klebsiella pneumoniae	ST76
ERR1023690	Klebsiella pneumoniae	ST215
ERR1023810	Klebsiella pneumoniae	ST540
ERR10321573	Klebsiella pneumoniae	ST231
ERR10419926	Klebsiella quasipneumoniae	ST283
ERR10430281	Klebsiella pneumoniae	ST13
ERR10432423	Klebsiella pneumoniae	ST948
ERR10437761	Klebsiella pneumoniae	ST70
ERR10440849	Klebsiella pneumoniae	ST307
ERR10440929	Klebsiella pneumoniae	ST11
ERR10461849	Klebsiella pneumoniae	ST307
ERR10461880	Klebsiella pneumoniae	ST855
ERR10471824	Klebsiella pneumoniae	ST147
ERR10471925	Klebsiella pneumoniae	ST16
ERR10471941	Klebsiella pneumoniae	ST86
ERR10471949	Klebsiella pneumoniae	ST231
ERR10663155	Klebsiella pneumoniae	ST307
ERR10663230	Klebsiella pneumoniae	ST395
ERR10669650	Klebsiella pneumoniae	ST258
ERR10669654	Klebsiella pneumoniae	ST258
ERR10669681	Klebsiella pneumoniae	ST258
ERR10669686	Klebsiella pneumoniae	ST383
ERR10669748	Klebsiella pneumoniae	ST258
ERR10686278	Klebsiella pneumoniae	ST307
ERR10738925	Klebsiella pneumoniae	ST437
ERR10765247	Klebsiella quasipneumoniae	ST1040
ERR10765316	Klebsiella pneumoniae	ST17
ERR10765318	Klebsiella pneumoniae	ST2268
ERR10765499	Klebsiella pneumoniae	ST985
ERR10765922	Klebsiella pneumoniae	ST17
ERR10765930	Klebsiella pneumoniae	ST35
ERR10877912	Klebsiella pneumoniae	ST2074
ERR10893932	Klebsiella pneumoniae	ST15
ERR10894046	Klebsiella pneumoniae	ST48
ERR10992844	Klebsiella pneumoniae	ST105
ERR11021154	Klebsiella pneumoniae	ST147
ERR1204893	Klebsiella pneumoniae	ST147
ERR1204936	Klebsiella pneumoniae	ST11
ERR1204997	Klebsiella pneumoniae	ST101
ERR1216985	Klebsiella pneumoniae	ST17
ERR1217086	Klebsiella pneumoniae	ST1269
ERR1217287	Klebsiella pneumoniae	ST512
ERR1217392	Klebsiella pneumoniae	ST512
ERR1228149	Klebsiella pneumoniae	ST2217
ERR1228154	Klebsiella pneumoniae	ST512
ERR1228156	Klebsiella pneumoniae	ST512
ERR1228185	Klebsiella pneumoniae	ST45
ERR1228205	Klebsiella pneumoniae	ST512
ERR1289793	Klebsiella pneumoniae	ST15
ERR1289823	Klebsiella pneumoniae	ST147
ERR1334649	Klebsiella pneumoniae	ST39
ERR1334669	Klebsiella pneumoniae	ST17
ERR1334703	Klebsiella pneumoniae	ST104
ERR1334722	Klebsiella pneumoniae	ST29
ERR1415486	Klebsiella pneumoniae	ST147
ERR1415638	Klebsiella pneumoniae	ST101
ERR1415759	Klebsiella pneumoniae	ST101
ERR1514849	Klebsiella pneumoniae	ST15
ERR1514911	Klebsiella pneumoniae	ST70
ERR1514919	Klebsiella pneumoniae	ST512
ERR1514993	Klebsiella pneumoniae	ST405
ERR1541309	Klebsiella pneumoniae	ST345
ERR1616623	Klebsiella pneumoniae	ST359
ERR1640704	Klebsiella pneumoniae	ST6586
